"PCB.cir","Reference Designator","LMS-Number","SAP-Number","Usage","Status","Value","Parttype","Ex component","Cluster test","Package_tech","VariantenManagment","Package Name","Description"
"","reference","partName","partNumber","Traffic_Light","Status","Value","Parttype","Ex_component","Cluster_test","Package_tech","variation","packageName","Description"
"1.cmp1163","R72","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1164","R73","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1165","R74","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1166","R75","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1167","R76","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1168","R77","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1169","R78","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1170","R79","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1171","R80","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1172","R81","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1173","R82","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1174","R83","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1175","R84","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1176","R85","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1177","R86","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1178","R87","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1179","R88","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1180","R89","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1181","R90","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1182","R91","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1183","R92","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1184","R93","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
