"PCB.cir","Reference Designator","LMS-Number","SAP-Number","Usage","Status","Value","Parttype","Ex component","Cluster test","Package_tech","VariantenManagment","Package Name","Description"
"","reference","partName","partNumber","Traffic_Light","Status","Value","Parttype","Ex_component","Cluster_test","Package_tech","variation","packageName","Description"
"2.cmp720","R194","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp719","R195","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp802","R196","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp788","R197","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp721","R198","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp717","R199","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp805","R200","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp784","R201","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp722","R202","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp718","R203","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp766","R204","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp799","R205","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp725","R206","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp726","R207","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp787","R208","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp767","R209","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp723","R210","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp727","R211","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp789","R212","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp768","R213","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp724","R214","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp728","R215","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp780","R216","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp793","R217","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
